Solar Flux predicition from Claire et al, 2012
Computed for -1.00000 Ga and 1.00000 AU
wavelength (nm)   flux (photons/cm^2/s/nm)
     0.500000       1407917.7
      1.50000       2815663.1
      2.50000       75262379.
      3.50000       68798446.
      4.50000   1.2251034e+08
      5.50000   2.5762028e+08
      6.50000   2.7107404e+08
      7.50000   3.2865435e+08
      8.50000   2.2720536e+08
      9.50000   2.8526415e+08
      10.5000   1.0961532e+08
      11.5000       86122049.
      12.5000       58709315.
      13.5000       61247052.
      14.5000   2.0920318e+08
      15.5000   2.6999659e+08
      16.5000   3.9122204e+08
      17.5000   1.8411238e+09
      18.5000   9.7264293e+08
      19.5000   1.0569570e+09
      20.5000   5.3922612e+08
      21.5000   4.3749151e+08
      22.5000   6.4360216e+08
      23.5000   3.3762969e+08
      24.5000   8.8539473e+08
      25.5000   1.5241237e+09
      26.5000   5.2910168e+08
      27.5000   9.6633318e+08
      28.5000   1.0634481e+09
      29.5000   3.6355620e+08
      30.5000   7.5529195e+09
      31.5000   1.6030403e+09
      32.5000   2.2991949e+09
      33.5000   2.3297685e+09
      34.5000   1.0268780e+09
      35.5000   9.0996850e+08
      36.5000   1.0767124e+09
      37.5000   2.1526748e+08
      38.5000       94861951.
      39.5000       96837050.
      40.5000   1.6668726e+08
      41.5000   3.3547022e+08
      42.5000       85060800.
      43.5000   2.0316184e+08
      44.5000       81631085.
      45.5000       93487807.
      46.5000   3.4573911e+08
      47.5000   1.4038476e+08
      48.5000   2.3893698e+08
      49.5000   8.6910224e+08
      50.5000   3.6162318e+08
      51.5000   1.2650804e+08
      52.5000   2.2746333e+08
      53.5000   1.7100264e+08
      54.5000   1.1239629e+08
      55.5000   5.1303311e+08
      56.5000   1.5939649e+08
      57.5000   1.6177642e+08
      58.5000   9.3320508e+08
      59.5000   1.9827383e+08
      60.5000   8.3008741e+08
      61.5000   2.5683971e+08
      62.5000   1.1345861e+09
      63.5000   2.9208987e+08
      64.5000       67761755.
      65.5000       54395728.
      66.5000       49004423.
      67.5000       51077890.
      68.5000   1.7898737e+08
      69.5000   1.3483867e+08
      70.5000   3.5771715e+08
      71.5000   1.5909992e+08
      72.5000   1.2190940e+08
      73.5000   1.6118240e+08
      74.5000   2.0152239e+08
      75.5000   3.1125757e+08
      76.5000   7.9569579e+08
      77.5000   7.4355604e+08
      78.5000   1.0504852e+09
      79.5000   4.9769367e+08
      80.5000   5.2242343e+08
      81.5000   6.0157338e+08
      82.5000   9.0086011e+08
      83.5000   1.5478686e+09
      84.5000   1.1481196e+09
      85.5000   1.2949001e+09
      86.5000   1.3901596e+09
      87.5000   1.6753936e+09
      88.5000   1.9386040e+09
      89.5000   2.3868960e+09
      90.5000   2.8451819e+09
      91.5000   2.2009110e+09
      92.5000   7.9516434e+08
      93.5000   7.0414441e+08
      94.5000   5.0796512e+08
      95.5000   2.9570431e+08
      96.5000   3.1100874e+08
      97.5000   5.5084121e+09
      98.5000   6.4779754e+08
      99.5000   1.0106127e+09
      100.500   4.1390756e+08
      101.500   4.8357159e+08
      102.500   4.0432071e+09
      103.500   4.4010150e+09
      104.500   6.8908265e+08
      105.500   5.8959367e+08
      106.500   5.6715978e+08
      107.500   6.0813151e+08
      108.500   1.0305457e+09
      109.500   7.0050429e+08
      110.500   7.5451964e+08
      111.500   6.9152334e+08
      112.500   7.7120447e+08
      113.500   6.0011116e+08
      114.500   4.1001741e+08
      115.500   6.8017891e+08
      116.500   7.7641858e+08
      117.500   3.1235474e+09
      118.500   8.9063517e+08
      119.500   3.0138860e+09
